,GW,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,team,name
0,741.0,1.0,810.0,1.0,0.0,0.0,257.0,1.0,70.0,659.0,290.9,5.0,0.0,15276.0,0.0,0.0,7297.0,2.0,26.0,0.0,72.3,404867.0,318.2,17.0,0.0,0.0,1588.0,1.0,11.0,382.0,0.0,0.0,0.0,0.0,83.0,0.0,741.0,0.0,1595598.0,12.0,9.0,8.0,47.0,60.0,113.0,34.0,-76496.0,19457.0,95953.0,1939.0,19.0,0.0,1.0,West Ham,Aaron Cresswell
1,741.0,1.0,277.0,0.0,1.0,2.0,133.0,3.0,20.0,220.0,121.19999999999999,6.0,0.0,3154.0,0.0,0.0,7182.0,12.0,22.0,1.0,37.999999999999986,392745.0,151.59999999999997,7.0,0.0,0.0,1214.0,0.0,3.0,412.0,0.0,1.0,0.0,0.0,43.0,0.0,741.0,0.0,1335600.0,19.0,13.0,1.0,53.0,60.0,108.0,41.0,-9126.0,131433.0,140559.0,1883.0,19.0,0.0,1.0,Burnley,Aaron Lennon
2,741.0,1.0,1276.0,4.0,0.0,5.0,411.0,3.0,40.0,1023.0,725.1999999999998,21.0,0.0,7562.0,0.0,0.0,7234.0,26.0,48.0,3.0,159.70000000000002,397153.0,510.79999999999995,43.0,0.0,0.0,2326.0,1.0,17.0,400.0,0.0,0.0,0.0,0.0,204.0,0.0,741.0,0.0,3363371.0,62.0,29.0,15.0,43.0,55.0,359.0,76.0,-145356.0,75745.0,221101.0,1950.0,19.0,1.0,4.0,Huddersfield,Aaron Mooy
3,745.0,6.0,773.0,2.0,2.0,4.0,298.0,9.0,11.0,633.0,387.19999999999993,12.0,0.0,532.0,0.0,0.0,7148.0,21.0,13.0,4.0,131.00000000000003,392402.0,418.4,25.0,0.0,0.0,1319.0,4.0,6.0,418.0,0.0,0.0,0.0,0.0,89.0,0.0,745.0,0.0,2655400.0,39.0,10.0,9.0,47.0,77.0,502.0,91.0,-47741.0,264728.0,312469.0,2756.0,19.0,1.0,0.0,Arsenal,Aaron Ramsey
4,742.0,3.0,1163.0,3.0,0.0,18.0,672.0,12.0,228.0,850.0,266.8,56.0,0.0,5510.0,0.0,0.0,7203.0,23.0,47.0,0.0,127.10000000000001,395563.0,863.4000000000002,14.0,0.0,0.0,3134.0,2.0,11.0,406.0,0.0,1.0,0.0,0.0,204.0,1.0,742.0,0.0,62706682.0,68.0,59.0,4.0,55.0,49.0,139.0,120.0,705637.0,2487610.0,1781973.0,1660.0,19.0,0.0,4.0,Crystal Palace,Aaron Wan-Bissaka
5,741.0,0.0,8.0,0.0,0.0,0.0,6.0,0.0,1.0,7.0,0.5,0.0,0.0,7790.0,0.0,0.0,7234.0,0.0,3.0,0.0,0.7,397381.0,4.2,0.0,0.0,0.0,48.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,2.0,0.0,741.0,0.0,126072.0,0.0,0.0,0.0,43.0,55.0,2.0,2.0,-2019.0,4596.0,6615.0,1647.0,19.0,0.0,0.0,Huddersfield,Abdelhamid Sabiri
6,744.0,7.0,1940.0,8.0,5.0,14.0,550.0,5.0,91.0,1621.0,544.1000000000001,29.0,0.0,14820.0,1.0,4.0,7316.0,36.0,56.0,5.0,198.90000000000003,406448.0,735.6,38.0,0.0,0.0,3061.0,2.0,2.0,384.0,1.0,0.0,0.0,0.0,258.0,0.0,744.0,0.0,4383615.0,68.0,19.0,14.0,54.0,57.0,709.0,124.0,145423.0,538456.0,393033.0,2248.0,19.0,0.0,7.0,Watford,Abdoulaye Doucouré
7,740.0,0.0,223.0,1.0,4.0,2.0,82.0,1.0,6.0,163.0,149.5,12.0,0.0,7182.0,0.0,0.0,7217.0,24.0,17.0,3.0,53.099999999999994,396028.0,150.0,10.0,0.0,0.0,688.0,7.0,1.0,402.0,0.0,0.0,1.0,0.0,29.0,0.0,740.0,0.0,18503838.0,19.0,2.0,11.0,48.0,67.0,244.0,28.0,-337675.0,923261.0,1260936.0,1689.0,19.0,0.0,2.0,Fulham,Aboubakar Kamara
8,741.0,1.0,147.0,1.0,2.0,0.0,38.0,1.0,2.0,112.0,80.60000000000001,11.0,0.0,17898.0,0.0,0.0,7234.0,7.0,16.0,0.0,23.4,407489.0,40.0,5.0,0.0,0.0,548.0,2.0,2.0,400.0,0.0,0.0,0.0,0.0,23.0,0.0,741.0,0.0,50379.0,31.0,2.0,2.0,43.0,55.0,115.0,19.0,-2069.0,1680.0,3749.0,1754.0,19.0,0.0,1.0,Huddersfield,Adama Diakhaby
9,744.0,1.0,268.0,2.0,1.0,2.0,182.0,1.0,12.0,195.0,271.30000000000007,69.0,0.0,19000.0,0.0,0.0,7319.0,15.0,13.0,1.0,75.8,410829.0,223.39999999999995,17.0,0.0,0.0,884.0,6.0,15.0,380.0,0.0,0.0,0.0,0.0,54.0,0.0,744.0,0.0,801319.0,62.0,13.0,7.0,40.0,53.0,265.0,44.0,-25880.0,43197.0,69077.0,2000.0,19.0,1.0,1.0,Wolves,Adama Traoré
